"PageNumber","File","Title","Exists","Mode","HasImg","HasSvgRef","SvgPath","SvgExists","HasEditableExercises","ExerciseCount","EquationCount","NeedsWork","Recommendation"
"42","עמוד-42.html","עמוד 2 — משוואות","True","EDITABLE_HTML","False","False","","False","True","10","10","False","כבר עריך — לבדוק איכות עיצוב/תוכן בלבד"
"43","עמוד-43.html","עמוד 3 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-03.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"44","עמוד-44.html","עמוד 4 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-04.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"45","עמוד-45.html","עמוד 5 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-05.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"46","עמוד-46.html","עמוד 6 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-06.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"47","עמוד-47.html","עמוד 7 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-07.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"48","עמוד-48.html","עמוד 8 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-08.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"49","עמוד-49.html","עמוד 9 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-09.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"50","עמוד-50.html","עמוד 10 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-10.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"51","עמוד-51.html","עמוד 11 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-11.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"52","עמוד-52.html","עמוד 12 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-12.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"53","עמוד-53.html","עמוד 13 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-13.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"54","עמוד-54.html","עמוד 14 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-14.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"55","עמוד-55.html","עמוד 15 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-15.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"56","עמוד-56.html","עמוד 16 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-16.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"57","עמוד-57.html","עמוד 17 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-17.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"58","עמוד-58.html","עמוד 18 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-18.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"59","עמוד-59.html","עמוד 19 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-19.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"60","עמוד-60.html","עמוד 20 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-20.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"61","עמוד-61.html","עמוד 21 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-21.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
